Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow
10,1,1000.0,20.0,25.346246226626192,0.12360847228924342,0.35157996571085137,25.0128825942884,26.095279944605316,0.01,0.25346246226626196,0.0035157996571084957,0.250128825942884,0.26095279944605315
15,1,1000.0,20.0,25.069851633239615,0.2734536827353388,0.5229279900094647,24.78619423442406,26.349450529387774,0.015,0.3760477744985942,0.007843919850141965,0.37179291351636085,0.39524175794081656
20,1,1000.0,20.0,23.600791992284044,0.16548690281530964,0.40680081466893553,23.004136141502833,24.043836898071998,0.02,0.47201583984568085,0.008136016293378718,0.4600827228300567,0.48087673796144
25,1,1000.0,20.0,21.508966745431653,0.12949102315536792,0.3598486114400998,21.051270453246165,22.14121934528818,0.025,0.5377241686357913,0.008996215286002494,0.5262817613311541,0.5535304836322046
30,1,1000.0,20.0,18.711360991640966,0.03427513193383027,0.18513544213313202,18.391509618897086,19.033622053499123,0.03,0.5613408297492289,0.005554063263993966,0.5517452885669125,0.5710086616049737
35,1,1000.0,20.0,16.215037458389038,0.03722814746395802,0.19294597032319183,16.063484268846345,16.670865136922668,0.035,0.5675263110436164,0.006753108961311747,0.5622219494096221,0.5834802797922934
40,1,1000.0,20.0,13.959129492559303,0.02789677506545176,0.167023277016863,13.752972498018172,14.246918438465197,0.04,0.5583651797023721,0.006680931080674515,0.5501188999207269,0.5698767375386079
45,1,1000.0,20.0,11.887142238095027,0.04887287129475737,0.22107209524215707,11.611573059655845,12.307398925794486,0.045,0.5349214007142762,0.00994824428589709,0.522520787684513,0.5538329516607519
50,1,1000.0,20.0,10.283310108734572,0.02217942885701587,0.14892759602241576,10.05803618319638,10.465958448435078,0.05,0.5141655054367287,0.007446379801120764,0.5029018091598191,0.5232979224217539
55,1,1000.0,20.0,8.922182187088682,0.01447155805435169,0.1202977890667642,8.683782054533626,9.042642279845031,0.055,0.4907200202898775,0.0066163783986720615,0.47760801299934946,0.49734532539147674
60,1,1000.0,20.0,7.704111833943753,0.0046728628207925145,0.06835834126712347,7.608173035629947,7.808831231158195,0.06,0.46224671003662515,0.004101500476027396,0.4564903821377968,0.4685298738694917
