Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %,Variance of Average Speed,Standard Deviation of Average Speed,Standard Deviation of Flow
5,2,500.0,20.0,27.466737582673442,17.28194890501421,31.760377862184704,0.005,0.1373336879133672,0.08640974452507105,0.1588018893109235,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,1.9638299830650952,0.7006835917632679,0.007006835917632679
10,2,500.0,20.0,22.989349745438293,16.277646381140677,27.753310257037715,0.01,0.22989349745438295,0.16277646381140679,0.27753310257037717,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,2.758602175840327,0.8304520118345682,0.01660904023669136
15,2,500.0,20.0,18.141314144966206,11.69733368925863,23.42755819997518,0.015,0.27211971217449304,0.17546000533887943,0.3514133729996277,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,2.414690248438211,0.7769636813323727,0.023308910439971197
20,2,500.0,20.0,15.01304805151412,9.049397224721083,19.2592349728017,0.02,0.30026096103028244,0.18098794449442168,0.385184699456034,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,1.2750929228709513,0.5646000626264027,0.02258400250505611
25,2,500.0,20.0,12.516542164705735,9.858548358517513,15.166166574393207,0.025,0.3129135541176434,0.24646370896293784,0.3791541643598302,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.49462771665449784,0.3516488719783194,0.017582443598915976
30,2,500.0,20.0,9.912456466108324,7.7943700270466545,12.042701607605327,0.03,0.2973736939832497,0.23383110081139963,0.3612810482281598,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.30013001329943956,0.27392061500526005,0.0164352369003156
35,2,500.0,20.0,8.705910970046126,6.512460489728726,10.287531385518436,0.035,0.3047068839516145,0.22793611714050543,0.3600635984931453,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.1748169086001017,0.20905555995960842,0.014633889197172598
40,2,500.0,20.0,7.676785774819099,6.575401939676526,8.988313010369193,0.04,0.30707143099276396,0.263016077587061,0.35953252041476774,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.12973431122990906,0.1800932475343739,0.014407459802749911
45,2,500.0,20.0,6.9446071030734124,5.57551871062328,8.83790159384277,0.045,0.3125073196383035,0.2508983419780476,0.3977055717229246,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.08784400624454,0.14819244771962908,0.013337320294766608
50,2,500.0,20.0,6.546362871777915,5.13863693088291,8.931317040433116,0.05,0.32731814358889577,0.2569318465441455,0.44656585202165583,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.19579357727441118,0.22124284015217938,0.022124284015217946
55,2,500.0,20.0,5.900918274236374,5.062522655795616,6.8242828541678655,0.055,0.32455050508300054,0.27843874606875885,0.3753355569792326,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.08326140323443582,0.14427526055637174,0.01587027866120089
60,2,500.0,20.0,5.555058933489194,4.231012878877317,6.531655204507315,0.06,0.33330353600935164,0.253860772732639,0.3918993122704389,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.06921700871802597,0.1315456277475861,0.015785475329710332
65,2,500.0,20.0,5.542542546151182,4.431799492425022,6.687463555330117,0.065,0.36026526549982685,0.28806696700762646,0.4346851310964576,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.07897331067658324,0.14051095213237227,0.018266423777208395
70,2,500.0,20.0,5.26821391486735,4.179511832489451,6.738081142518987,0.07,0.3687749740407146,0.29256582827426164,0.47166567997632913,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.07053781255711694,0.13279477828318112,0.01859126895964536
75,2,500.0,20.0,5.083898417021138,4.163846130627158,5.7880350735360375,0.075,0.3812923812765854,0.31228845979703684,0.4341026305152028,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.05365558909579421,0.1158183805531253,0.0173727570829688
80,2,500.0,20.0,4.970125545756984,3.915494562255508,6.123024064888424,0.08,0.39761004366055874,0.31323956498044064,0.48984192519107395,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.05379338952026294,0.11596700987809307,0.018554721580494895
90,2,500.0,20.0,4.709556385248455,3.8315178453580767,5.57790924172027,0.09,0.4238600746723609,0.3448366060822269,0.5020118317548242,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.048743470412168005,0.1103896172791717,0.01987013111025091
95,2,500.0,20.0,4.676599165162274,3.712135816244375,5.713532254838883,0.095,0.444276920690416,0.35265290254321563,0.5427855642096939,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.06396008514391623,0.12645165592422686,0.024025814625603117
100,2,500.0,20.0,4.687245428418464,3.7486960255877424,6.325164904436682,0.1,0.46872454284184645,0.3748696025587743,0.6325164904436682,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.1035698188189112,0.16091132559496177,0.03218226511899236
