Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,30.0,27.32614941439802,2.549580832103772,1.5967406903137942,25.094362968924663,30.290363160743425,0.005,0.13663074707199013,0.007983703451568968,0.12547181484462333,0.15145181580371714,150.0,0.5,50,100,0,0.0,0.0,0.0
10,1,1000.0,30.0,25.7183544030404,0.6878124090661589,0.8293445659472056,25.008197273258858,28.07979853841595,0.01,0.25718354403040394,0.008293445659472052,0.2500819727325886,0.2807979853841595,150.0,0.5,50,100,0,0.0,0.0,0.0
15,1,1000.0,30.0,25.14517605798485,0.132784769755847,0.3643964458606135,24.482903203519502,26.353766122201094,0.015,0.37717764086977273,0.005465946687909214,0.3672435480527925,0.3953064918330164,150.0,0.5,50,100,0,0.0,0.0,0.0
20,1,1000.0,30.0,23.745473927361548,0.2483338872695242,0.4983311020491539,23.076008164582795,24.727092910246235,0.02,0.474909478547231,0.009966622040983093,0.4615201632916559,0.4945418582049247,150.0,0.5,50,100,0,0.0,0.0,0.0
25,1,1000.0,30.0,21.469831461637433,0.11366553871364482,0.3371432020872508,20.81789275022759,22.059039646743393,0.025,0.5367457865409359,0.008428580052181268,0.5204473187556897,0.5514759911685848,150.0,0.5,50,100,0,0.0,0.0,0.0
30,1,1000.0,30.0,18.96343822485206,0.04283661293109999,0.20697007738100692,18.57424157408752,19.359674063394234,0.03,0.5689031467455617,0.006209102321430201,0.5572272472226255,0.5807902219018269,150.0,0.5,50,100,0,0.0,0.0,0.0
35,1,1000.0,30.0,16.52341755244435,0.05873922719584137,0.24236176925381892,15.985845401685522,16.932218247311443,0.035,0.5783196143355523,0.008482661923883661,0.5595045890589934,0.5926276386559005,150.0,0.5,50,100,0,0.0,0.0,0.0
40,1,1000.0,30.0,14.329419809225447,0.09686257312902509,0.31122752630354705,13.799832143453282,14.893507870934965,0.04,0.573176792369018,0.012449101052141935,0.5519932857381312,0.5957403148373986,150.0,0.5,50,100,0,0.0,0.0,0.0
45,1,1000.0,30.0,12.349511610359581,0.019266265116551523,0.13880297229004687,12.1585832019803,12.665666640828833,0.045,0.5557280224661812,0.006246133753052139,0.5471362440891134,0.5699549988372975,150.0,0.5,50,100,0,0.0,0.0,0.0
50,1,1000.0,30.0,10.63300002759438,0.0327014709338403,0.1808354802958764,10.351338770150605,11.018233051640223,0.05,0.531650001379719,0.009041774014793825,0.5175669385075302,0.5509116525820111,150.0,0.5,50,100,0,0.0,0.0,0.0
55,1,1000.0,30.0,9.295041791026284,0.014051541401070441,0.11853919774096011,9.10948592355006,9.515227805015257,0.055,0.5112272985064455,0.006519655875752762,0.5010217257952534,0.5233375292758392,150.0,0.5,50,100,0,0.0,0.0,0.0
60,1,1000.0,30.0,8.089601588821239,0.0052256566736332164,0.0722887036377968,7.944497194658842,8.205635509665008,0.06,0.4853760953292743,0.004337322218267809,0.47666983167953053,0.49233813057990045,150.0,0.5,50,100,0,0.0,0.0,0.0
