Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,0.0,26.808737729673986,2.0322227221597586,1.4255604940372606,25.037150565856226,30.88898713847063,0.005,0.13404368864836994,0.007127802470186305,0.12518575282928113,0.15444493569235315,150.0,0.5,50,90.0,10.0,0.0,0.0,0.0
10,1,1000.0,0.0,26.013111737838255,1.0991563662629027,1.0484065844236685,24.951470596211436,28.669069640267924,0.01,0.26013111737838257,0.010484065844236693,0.24951470596211436,0.28669069640267925,150.0,0.5,50,90.0,10.0,0.0,0.0,0.0
15,1,1000.0,0.0,25.122387556964227,0.14979637495028636,0.38703536653681453,24.407686808160935,25.661355509828304,0.015,0.3768358133544634,0.005805530498052216,0.366115302122414,0.38492033264742453,150.0,0.5,50,90.0,10.0,0.0,0.0,0.0
20,1,1000.0,0.0,23.746645256611533,0.17089108749204449,0.41338975252423044,23.108031719779834,24.403227521788832,0.02,0.4749329051322307,0.008267795050484621,0.4621606343955967,0.4880645504357766,150.0,0.5,50,90.0,10.0,0.0,0.0,0.0
25,1,1000.0,0.0,21.485507289765472,0.09951984485508839,0.3154676605534843,20.978221305232605,21.962910150040756,0.025,0.5371376822441368,0.007886691513837108,0.5244555326308151,0.5490727537510189,150.0,0.5,50,90.0,10.0,0.0,0.0,0.0
30,1,1000.0,0.0,18.90098704291402,0.09002552028488339,0.30004253079335835,18.423659165127177,19.45480686163138,0.03,0.5670296112874207,0.009001275923800782,0.5527097749538152,0.5836442058489414,150.0,0.5,50,90.0,10.0,0.0,0.0,0.0
35,1,1000.0,0.0,16.55419199772303,0.033836498322550326,0.18394699867774503,16.29049850770478,16.910988389040625,0.035,0.5793967199203061,0.006438144953721077,0.5701674477696673,0.591884593616422,150.0,0.5,50,90.0,10.0,0.0,0.0,0.0
40,1,1000.0,0.0,14.248669473026784,0.05603000134457423,0.23670657224626068,13.853100069743746,14.574658185931463,0.04,0.5699467789210713,0.009468262889850433,0.5541240027897498,0.5829863274372585,150.0,0.5,50,90.0,10.0,0.0,0.0,0.0
45,1,1000.0,0.0,12.28838232439747,0.02297468328372355,0.15157401915804553,12.04077466536154,12.531696708957867,0.045,0.5529772045978861,0.006820830862112054,0.5418348599412693,0.563926351903104,150.0,0.5,50,90.0,10.0,0.0,0.0,0.0
50,1,1000.0,0.0,10.635076658175317,0.039219517130658944,0.19803918079677804,10.240947795318652,10.892743538047487,0.05,0.5317538329087659,0.009901959039838884,0.5120473897659327,0.5446371769023743,150.0,0.5,50,90.0,10.0,0.0,0.0,0.0
55,1,1000.0,0.0,9.265735680338532,0.028480077819493944,0.1687604154400372,9.007049790311397,9.543430404661631,0.055,0.5096154624186192,0.00928182284920199,0.49538773846712686,0.5248886722563897,150.0,0.5,50,90.0,10.0,0.0,0.0,0.0
60,1,1000.0,0.0,8.092147788434463,0.013249139417902499,0.11510490614175618,7.855376237549951,8.278988024028374,0.06,0.4855288673060677,0.006906294368505386,0.47132257425299706,0.49673928144170243,150.0,0.5,50,90.0,10.0,0.0,0.0,0.0
