Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow
10,1,1000,0,25.334268841950152,0.11719040180902747,0.3423308367778566,24.913250811395876,25.72350451042397,0.01,0.25334268841950147,0.0034233083677785827,0.24913250811395876,0.2572350451042397
15,1,1000,0,24.938190620453913,0.006581172840293067,0.0811244281353839,24.83615135744801,25.063321701067544,0.015,0.37407285930680867,0.0012168664220307541,0.37254227036172016,0.37594982551601314
20,1,1000,0,23.79767824175276,0.1708337162601367,0.41332035548728624,23.280220492725075,24.39363619244645,0.02,0.47595356483505524,0.008266407109745737,0.4656044098545015,0.48787272384892905
25,1,1000,0,21.428724264570914,0.1055266749156626,0.32484869541936384,21.012414362196424,21.809543184745056,0.025,0.5357181066142729,0.008121217385484112,0.5253103590549106,0.5452385796186264
30,1,1000,0,19.00210582706405,0.07553235138527273,0.2748314963487131,18.689751982184315,19.313542130629852,0.03,0.5700631748119214,0.0082449448904614,0.5606925594655294,0.5794062639188955
35,1,1000,0,16.261066881043043,0.15958365641364186,0.3994792315172866,16.00618006496729,16.931257523850135,0.035,0.5691373408365066,0.013981773103105062,0.5602163022738552,0.5925940133347548
40,1,1000,0,14.200024457896102,0.06700289514136969,0.25884917450393713,13.989170545810405,14.62604605929894,0.04,0.5680009783158442,0.010353966980157465,0.5595668218324162,0.5850418423719576
45,1,1000,0,12.255840864365098,0.03511013508282269,0.18737698653469345,11.974314610550229,12.469183862780236,0.045,0.5515128388964293,0.008431964394061207,0.5388441574747602,0.5611132738251106
50,1,1000,0,10.75662774402171,0.015448770509228311,0.12429308311096121,10.61435838155231,10.945040330191613,0.05,0.5378313872010856,0.006214654155548059,0.5307179190776156,0.5472520165095807
55,1,1000,0,9.145856595207785,0.0053641841533031585,0.07324059088581385,9.039580127162681,9.227670705594605,0.055,0.5030221127364282,0.004028232498719661,0.49717690699394745,0.5075218888077032
60,1,1000,0,7.951469377338876,0.014541236025756032,0.12058704750409985,7.845575573258149,8.121839708150825,0.06,0.4770881626403325,0.00723522285024598,0.4707345343954889,0.48731038248904945
