Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,0.0,26.63517453520084,1.4239113577700537,1.1932775694573554,25.431445066553614,29.330564794302298,0.005,0.1331758726760042,0.00596638784728677,0.12715722533276808,0.1466528239715115,150.0,0.5,50,60.0,40.0,0.0,0.0,0.0
10,1,1000.0,0.0,25.823503499508327,0.7800085033831454,0.8831809007123883,24.882300591743622,28.5489474831654,0.01,0.25823503499508327,0.008831809007123879,0.24882300591743622,0.285489474831654,150.0,0.5,50,60.0,40.0,0.0,0.0,0.0
15,1,1000.0,0.0,25.061220386171378,0.1598596134263964,0.39982447827314976,24.424948035112575,26.024678549522143,0.015,0.37591830579257063,0.005997367174097265,0.3663742205266886,0.39037017824283216,150.0,0.5,50,60.0,40.0,0.0,0.0,0.0
20,1,1000.0,0.0,23.634307141787566,0.175529942873243,0.41896293735036155,22.798831547611528,24.728255655325555,0.02,0.47268614283575133,0.008379258747007226,0.45597663095223057,0.4945651131065111,150.0,0.5,50,60.0,40.0,0.0,0.0,0.0
25,1,1000.0,0.0,21.320488870963363,0.06322599929720592,0.2514478063081997,20.959768689642218,21.857553219844558,0.025,0.533012221774084,0.006286195157704987,0.5239942172410554,0.546438830496114,150.0,0.5,50,60.0,40.0,0.0,0.0,0.0
30,1,1000.0,0.0,18.933304397509723,0.05477000650778662,0.23402992652177332,18.54932639849843,19.246981190002884,0.03,0.5679991319252916,0.007020897795653178,0.5564797919549529,0.5774094357000865,150.0,0.5,50,60.0,40.0,0.0,0.0,0.0
35,1,1000.0,0.0,16.413351342343923,0.04935422958340817,0.22215811842786248,15.977231988176362,16.809317888561512,0.035,0.5744672969820372,0.007775534144975188,0.5592031195861727,0.588326126099653,150.0,0.5,50,60.0,40.0,0.0,0.0,0.0
40,1,1000.0,0.0,14.15645828220824,0.0563334165985149,0.2373466169940387,13.63913948885411,14.701701640201653,0.04,0.5662583312883296,0.009493864679761545,0.5455655795541644,0.5880680656080661,150.0,0.5,50,60.0,40.0,0.0,0.0,0.0
45,1,1000.0,0.0,12.155394381391286,0.044897767602902296,0.2118909332720546,11.771836795317212,12.537164319591056,0.045,0.5469927471626079,0.009535091997242444,0.5297326557892745,0.5641723943815975,150.0,0.5,50,60.0,40.0,0.0,0.0,0.0
50,1,1000.0,0.0,10.572398037283552,0.03325152941769034,0.18235001896816558,10.136386383049299,10.92452757546974,0.05,0.5286199018641776,0.009117500948408278,0.5068193191524649,0.546226378773487,150.0,0.5,50,60.0,40.0,0.0,0.0,0.0
55,1,1000.0,0.0,9.133443966308176,0.01447929366317364,0.12032993668731667,8.914638674256398,9.297382521984892,0.055,0.5023394181469497,0.0066181465178024226,0.4903051270841019,0.511356038709169,150.0,0.5,50,60.0,40.0,0.0,0.0,0.0
60,1,1000.0,0.0,7.950929058011786,0.014114477475769395,0.11880436640026912,7.739338684444135,8.20826533076096,0.06,0.4770557434807071,0.007128261984016141,0.4643603210666481,0.4924959198456576,150.0,0.5,50,60.0,40.0,0.0,0.0,0.0
