Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,2,500.0,0.0,27.622430692432214,6.845717828783901,2.6164322710102588,20.179645699003956,30.987357976172138,0.005,0.13811215346216107,0.013082161355051292,0.10089822849501978,0.15493678988086068,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
10,2,500.0,0.0,23.83268171254418,5.537708191794324,2.353233560825258,20.1657192834233,27.885478896735076,0.01,0.23832681712544182,0.023532335608252578,0.201657192834233,0.2788547889673508,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
15,2,500.0,0.0,19.50392089272128,8.69988020813542,2.9495559340577726,11.768337908543192,24.20126657076272,0.015,0.2925588133908192,0.044243339010866585,0.17652506862814787,0.36301899856144076,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
20,2,500.0,0.0,16.190705678076252,4.911902731114973,2.216281284294702,12.489276556388814,19.90914200033222,0.02,0.32381411356152506,0.04432562568589404,0.2497855311277763,0.39818284000664445,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
25,2,500.0,0.0,12.559322667500414,2.6611374217592343,1.6312993047749498,8.990398376917836,14.993054591595564,0.025,0.31398306668751036,0.04078248261937375,0.2247599594229459,0.3748263647898891,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
30,2,500.0,0.0,10.716388284265877,1.6050593380615934,1.2669093645804317,8.628720660707597,13.704499534158158,0.03,0.32149164852797624,0.03800728093741295,0.2588616198212279,0.41113498602474474,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
35,2,500.0,0.0,9.226640068575245,1.0799897761732176,1.0392255655887308,7.666482891277336,11.630411185416001,0.035,0.3229324024001336,0.036372894795605584,0.26832690119470676,0.4070643914895601,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
40,2,500.0,0.0,8.125114780485877,0.701304498856101,0.8374392508451589,5.554197492058175,9.691888783729025,0.04,0.3250045912194351,0.03349757003380635,0.222167899682327,0.38767555134916104,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
45,2,500.0,0.0,7.380305237916401,0.3583383788919725,0.5986137142531672,6.078366755397805,8.616833474925443,0.045,0.332113735706238,0.0269376171413925,0.2735265039929012,0.3877575063716449,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
50,2,500.0,0.0,6.824875766865464,0.3130845448004179,0.5595395828718626,5.30118951628918,7.871405864636396,0.05,0.34124378834327324,0.02797697914359313,0.26505947581445904,0.3935702932318198,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
55,2,500.0,0.0,6.584571528207486,0.2769266143696236,0.526238172664834,5.717031219580806,8.017946915423162,0.055,0.3621514340514117,0.028943099496565882,0.31443671707694437,0.4409870803482739,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
60,2,500.0,0.0,6.039992090131633,0.224128641357451,0.47342226537991533,5.172721397026785,7.533931264575723,0.06,0.3623995254078979,0.02840533592279491,0.3103632838216071,0.45203587587454336,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
65,2,500.0,0.0,5.69484819416429,0.3159857018060689,0.5621260550855732,4.718422946431769,6.74279113858003,0.065,0.37016513262067885,0.03653819358056226,0.30669749151806497,0.4382814240077019,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
70,2,500.0,0.0,5.476050019021514,0.3496210616820925,0.5912876302461371,4.454153649062288,6.595763953101892,0.07,0.383323501331506,0.04139013411722958,0.3117907554343602,0.4617034767171325,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
