Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,2,500.0,10.0,26.658642593698683,10.257612470385146,3.2027507661985104,20.008250628778807,30.842001960231308,0.005,0.13329321296849342,0.01601375383099255,0.10004125314389403,0.15421000980115654,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
10,2,500.0,10.0,23.789033039193715,7.766294615772815,2.7868072441008214,16.326378771331207,29.121587137444436,0.01,0.23789033039193713,0.027868072441008217,0.16326378771331207,0.2912158713744444,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
15,2,500.0,10.0,19.153711222512054,11.545311678934777,3.3978392662006214,12.784928416580048,25.183712122952457,0.015,0.28730566833768084,0.05096758899300931,0.1917739262487007,0.3777556818442868,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
20,2,500.0,10.0,14.72950788696821,4.255291248521621,2.0628357298926208,9.80010117328853,18.226451229793902,0.02,0.2945901577393642,0.04125671459785241,0.19600202346577061,0.36452902459587805,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
25,2,500.0,10.0,11.868227224249305,1.9551143242240259,1.3982540270723436,9.861032880193681,16.692476238761355,0.025,0.29670568060623265,0.034956350676808606,0.24652582200484205,0.4173119059690339,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
30,2,500.0,10.0,9.96108247304832,1.6557997160369056,1.2867788139524623,7.896819257127918,14.233259304922978,0.03,0.29883247419144954,0.03860336441857387,0.23690457771383752,0.4269977791476893,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
35,2,500.0,10.0,9.071447751804907,0.6503740084669649,0.8064576916782212,7.5261911658937946,10.72613951128459,0.035,0.31750067131317183,0.028226019208737758,0.2634166908062828,0.37541488289496067,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
40,2,500.0,10.0,7.695174749312617,0.6276205768032465,0.7922250796353562,6.1954891049849525,9.425068541055209,0.04,0.3078069899725047,0.03168900318541425,0.2478195641993981,0.37700274164220837,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
45,2,500.0,10.0,7.037248321313519,0.3935934487954445,0.6273702645132653,5.989593659855638,8.935356720038245,0.045,0.3166761744591084,0.02823166190309693,0.2695317146935037,0.402091052401721,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
50,2,500.0,10.0,6.422612913157746,0.5166073069200828,0.7187539961072097,4.780622961867035,7.819768623652186,0.05,0.3211306456578873,0.03593769980536048,0.23903114809335177,0.3909884311826093,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
55,2,500.0,10.0,6.026190850849518,0.32332796101922745,0.5686193463286555,4.8749028212976455,7.3193925374777935,0.055,0.3314404967967235,0.03127406404807605,0.2681196551713705,0.40256658956127866,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
60,2,500.0,10.0,5.64946351008665,0.37120915295870993,0.6092693599375484,4.4411428768406065,7.238604544144816,0.06,0.33896781060519904,0.03655616159625289,0.2664685726104364,0.43431627264868894,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
65,2,500.0,10.0,5.574539312085121,0.37639200547359386,0.6135079506197079,4.501370891808458,6.839409561423007,0.065,0.3623450552855329,0.039878016790281016,0.2925891079675498,0.44456162149249545,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
70,2,500.0,10.0,5.229557421756831,0.24928877986609324,0.4992882733112137,4.21555993154515,6.083375312922802,0.07,0.36606901952297816,0.03495017913178498,0.2950891952081605,0.42583627190459616,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
