Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,30.0,26.433963684509344,2.455674282803473,1.567059119115636,25.104286147332918,29.44773667519791,0.005,0.13216981842254671,0.007835295595578183,0.12552143073666458,0.14723868337598955,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
10,1,1000.0,30.0,25.766624220786518,0.40059914824509824,0.6329290230705954,25.059917983151138,27.106250340413112,0.01,0.25766624220786516,0.0063292902307059635,0.25059917983151137,0.2710625034041311,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
15,1,1000.0,30.0,25.35569136660139,0.39310784104262547,0.6269831266012073,24.741676305992364,26.850598182419752,0.015,0.3803353704990209,0.0094047468990181,0.37112514458988544,0.40275897273629624,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
20,1,1000.0,30.0,23.864632055058152,0.03985852925430201,0.19964600986321265,23.62053148257449,24.210655513391963,0.02,0.477292641101163,0.003992920197264249,0.4724106296514898,0.48421311026783925,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
25,1,1000.0,30.0,21.430680695479182,0.08987731185990042,0.29979545003201835,20.84855794361766,21.752248661101977,0.025,0.5357670173869795,0.007494886250800442,0.5212139485904416,0.5438062165275495,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
30,1,1000.0,30.0,18.89667677108358,0.06183985318735917,0.24867620148972674,18.48563026837416,19.199703529355656,0.03,0.5669003031325073,0.007460286044691876,0.5545689080512247,0.5759911058806696,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
35,1,1000.0,30.0,16.586595410563298,0.08714652289716103,0.2952058991571155,16.198696012663245,17.217787027286047,0.035,0.5805308393697154,0.010332206470499069,0.5669543604432136,0.6026225459550117,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
40,1,1000.0,30.0,14.30895524107667,0.043597834544575366,0.2088009447885123,13.984143908376808,14.602803369998616,0.04,0.5723582096430668,0.00835203779154049,0.5593657563350724,0.5841121347999446,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
45,1,1000.0,30.0,12.299362539473123,0.01752314634718338,0.13237502161353318,12.0820614016901,12.477441249443503,0.045,0.5534713142762905,0.005956875972609019,0.5436927630760544,0.5614848562249576,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
50,1,1000.0,30.0,10.618942580167943,0.019494901175919333,0.1396241425252787,10.415624627186777,10.924990975016813,0.05,0.5309471290083972,0.006981207126263928,0.5207812313593388,0.5462495487508406,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
55,1,1000.0,30.0,9.268953815296745,0.018134333396379723,0.13466377908101243,9.119533803695008,9.526694675674621,0.055,0.509792459841321,0.007406507849455716,0.5015743592032255,0.5239682071621041,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
60,1,1000.0,30.0,8.060680236993628,0.008999121456093833,0.09486369935910065,7.892663055382468,8.156482046972878,0.06,0.48364081421961763,0.005691821961546037,0.47355978332294807,0.48938892281837265,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
