Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %,Variance of Average Speed,Standard Deviation of Average Speed,Standard Deviation of Flow
5,2,500.0,45.0,27.851994674845745,23.074093988092393,30.988715757900422,0.005,0.13925997337422874,0.11537046994046196,0.15494357878950213,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,1.1838911594063641,0.544033813150976,0.005440338131509759
10,2,500.0,45.0,22.969370633227484,15.580823542625671,27.996352175091385,0.01,0.22969370633227484,0.1558082354262567,0.2799635217509139,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,2.697235826672247,0.8211631729857726,0.016423263459715454
15,2,500.0,45.0,18.4203354922907,12.398857006303245,24.497909285460388,0.015,0.2763050323843605,0.18598285509454868,0.3674686392819058,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,2.0844755141259252,0.7218856408957595,0.02165656922687277
20,2,500.0,45.0,14.815355777619947,10.684183564233747,21.135637177964014,0.02,0.29630711555239897,0.21368367128467494,0.4227127435592803,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,1.7262523130009348,0.6569346072861695,0.026277384291446777
25,2,500.0,45.0,11.901648203422743,9.27331949792312,14.781499226133233,0.025,0.2975412050855686,0.231832987448078,0.36953748065333086,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.499284653762122,0.3533003869804426,0.01766501934902213
30,2,500.0,45.0,9.944811942140213,6.308298277298585,12.13746807463742,0.03,0.29834435826420636,0.18924894831895753,0.3641240422391226,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.4349348334022184,0.32974794669649515,0.01978487680178971
35,2,500.0,45.0,8.590945305909573,7.688735403202837,10.935878775573514,0.035,0.30068308570683505,0.26910573911209934,0.38275575714507304,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.13745841496565017,0.18537692343280635,0.012976384640296441
40,2,500.0,45.0,7.608237805023665,6.324273195180913,9.632096755948101,0.04,0.3043295122009466,0.2529709278072365,0.38528387023792404,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.1955246994069466,0.2210908746460076,0.017687269971680606
45,2,500.0,45.0,7.01161935812217,5.630177181519968,8.297665177641274,0.045,0.3155228711154976,0.25335797316839853,0.37339493299385734,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.12213864445093742,0.17474169826556668,0.015726752843901
50,2,500.0,45.0,6.522328644589513,5.2546302064869215,7.561358516523145,0.05,0.32611643222947573,0.2627315103243461,0.3780679258261573,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.0876480672253546,0.1480270813275012,0.014802708132750133
55,2,500.0,45.0,6.120978855410653,5.437907772279761,7.2080109115208115,0.055,0.3366538370475859,0.29908492747538684,0.3964406001336446,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.04394470382828017,0.10481496055940699,0.01152964566153477
60,2,500.0,45.0,5.691547104661779,4.007567419789298,6.725205651488841,0.06,0.3414928262797067,0.24045404518735788,0.4035123390893305,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.08173804370912421,0.14294932992945805,0.01715391959153497
65,2,500.0,45.0,5.405752059264599,4.258180029108274,6.621109056090895,0.065,0.3513738838521989,0.2767817018920378,0.4303720886459082,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.08353162906007085,0.1445091943961273,0.018786195271496553
70,2,500.0,45.0,5.320734251107544,4.564802359351721,6.302074526352008,0.07,0.37245139757752815,0.3195361651546205,0.44114521684464064,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.06574428439898372,0.12820324137768876,0.01794845379287643
75,2,500.0,45.0,5.195861464778568,4.131201438087145,6.464452430008413,0.075,0.38968960985839257,0.3098401078565359,0.484833932250631,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.06896884921783288,0.13130960476849443,0.01969644071527417
80,2,500.0,45.0,5.012230261183775,3.441747399888692,6.148356437113028,0.08,0.4009784208947019,0.2753397919910954,0.49186851496904227,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.08603668802022568,0.14666005592886025,0.023465608948617645
90,2,500.0,45.0,4.896589873976192,3.549151703139625,6.357561145954492,0.09,0.4406930886578573,0.3194236532825662,0.5721805031359042,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.11470939869195958,0.16934387993957709,0.030481898389123872
95,2,500.0,45.0,4.602226518111972,3.525820155559682,5.6582715754046795,0.095,0.4372115192206374,0.3349529147781698,0.5375357996634446,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.06057260811798823,0.12305751512807764,0.023380927874334746
100,2,500.0,45.0,4.784472463747809,3.6718680670726895,5.871688959519027,0.1,0.478447246374781,0.367186806707269,0.5871688959519027,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.0923282610094107,0.15192782909115984,0.030385565818231968
