Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,2,500.0,0.0,27.66684774778581,5.6996982020599125,2.387404071802658,19.67804415668099,30.852750497914247,0.005,0.13833423873892906,0.011937020359013293,0.09839022078340495,0.15426375248957125,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
10,2,500.0,0.0,23.25504392620228,11.404862752852571,3.377108637999757,14.910597551682732,27.890692604110818,0.01,0.2325504392620228,0.03377108637999757,0.14910597551682733,0.27890692604110817,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
15,2,500.0,0.0,19.283339987516612,9.753355246843377,3.123036222467389,13.087190370903505,24.749015844426317,0.015,0.28925009981274913,0.04684554333701083,0.19630785556355257,0.37123523766639477,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
20,2,500.0,0.0,14.660253065467641,4.232458745404599,2.057294034746759,9.17043157070881,19.760774213137335,0.02,0.2932050613093528,0.04114588069493518,0.1834086314141762,0.3952154842627467,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
25,2,500.0,0.0,11.938530185428313,1.3814895735817663,1.17536784607278,9.63566442160142,15.661766734477876,0.025,0.29846325463570783,0.029384196151819503,0.24089161054003552,0.39154416836194694,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
30,2,500.0,0.0,9.950345913881266,1.5801861109335626,1.2570545377721536,7.541161031103698,12.791928880203411,0.03,0.298510377416438,0.037711636133164604,0.22623483093311092,0.3837578664061023,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
35,2,500.0,0.0,8.758055568084108,0.7475895366789647,0.8646326021374423,6.869445160661285,11.807292370722724,0.035,0.30653194488294383,0.030262141074810484,0.24043058062314498,0.4132552329752954,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
40,2,500.0,0.0,7.903922691328311,0.7028410278103501,0.8383561461636397,5.92548098641701,9.852788581808742,0.04,0.3161569076531324,0.033534245846545595,0.23701923945668038,0.3941115432723497,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
45,2,500.0,0.0,7.186228233023741,0.46727179223831766,0.6835728141451485,5.658968305185021,9.264177560512374,0.045,0.3233802704860683,0.03076077663653168,0.2546535737333259,0.41688799022305684,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
