Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %,Variance of Average Speed,Standard Deviation of Average Speed,Standard Deviation of Flow
5,2,500.0,35.0,27.32328763232544,19.653783765607912,30.91124431897917,0.005,0.1366164381616272,0.09826891882803956,0.15455622159489585,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,1.7798677977373496,0.6670584303000281,0.006670584303000281
10,2,500.0,35.0,22.64739798712272,16.365333351368918,27.362032771819223,0.01,0.22647397987122722,0.1636533335136892,0.2736203277181922,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,2.8538308590563144,0.8446642615643677,0.016893285231287348
15,2,500.0,35.0,18.18643698802483,13.935350058329577,23.164622507227534,0.015,0.27279655482037246,0.20903025087494365,0.347469337608413,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,1.5391800243027907,0.6203184714932304,0.01860955414479691
20,2,500.0,35.0,15.05211612344183,11.717890914757824,18.474801472731308,0.02,0.3010423224688366,0.23435781829515648,0.3694960294546262,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.9486687413510139,0.4869981368935137,0.019479925475740536
25,2,500.0,35.0,11.832932177081855,8.5796694987244,15.22578537472636,0.025,0.2958233044270464,0.21449173746811,0.38064463436815904,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.6885263451139196,0.4148874380822826,0.020744371904114132
30,2,500.0,35.0,9.961183192468999,8.037438662732283,13.570181501371914,0.03,0.2988354957740699,0.24112315988196847,0.4071054450411574,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.3475988217695622,0.29478755985012417,0.01768725359100745
35,2,500.0,35.0,8.970218055381782,7.085152345052028,10.7526099082321,0.035,0.3139576319383624,0.247980332076821,0.3763413467881236,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.22499368603526124,0.23716749673767548,0.01660172477163728
40,2,500.0,35.0,7.84373113283084,6.45319024946096,9.814296751608243,0.04,0.31374924531323356,0.25812760997843837,0.3925718700643297,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.17732906170960425,0.21055228668290701,0.01684418293463256
45,2,500.0,35.0,7.093952935184351,5.0004262889295426,9.2907335721592,0.045,0.31922788208329583,0.2250191830018294,0.418083010747164,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.23872664259275098,0.24429830258965726,0.021986847233069158
50,2,500.0,35.0,6.525575435835724,5.256940443533315,7.852417309595839,0.05,0.3262787717917862,0.2628470221766658,0.39262086547979197,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.09888290372323415,0.15722826059843228,0.01572282605984323
55,2,500.0,35.0,6.178604291858545,4.609563300973976,7.345275719306615,0.055,0.3398232360522199,0.2535259815535687,0.4039901645618638,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.1495131223167635,0.19333463367744247,0.021266809704518674
60,2,500.0,35.0,5.6612234078642825,4.559087014714574,7.470773394885273,0.06,0.33967340447185695,0.2735452208828745,0.44824640369311636,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.1087895259441933,0.16491628629716448,0.01978995435565974
65,2,500.0,35.0,5.2899972309715535,4.353688569474808,6.759691546921299,0.065,0.34384982001315106,0.2829897570158625,0.43937995054988443,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.08780175268835451,0.14815680265208422,0.019260384344770946
70,2,500.0,35.0,5.189663535261675,4.489031627320804,6.672354049609069,0.07,0.3632764474683173,0.3142322139124563,0.4670647834726349,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.045201765256884296,0.10630353387456634,0.014882494742439295
75,2,500.0,35.0,5.133818633400111,4.212411686825606,6.340936558566651,0.075,0.3850363975050083,0.3159308765119204,0.4755702418924988,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.08496533395535653,0.14574406845164964,0.02186161026774745
80,2,500.0,35.0,4.938307394739689,4.051087689350892,6.023286173846293,0.08,0.3950645915791751,0.32408701514807137,0.4818628939077034,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.07248722555666183,0.13461725888297332,0.021538761421275733
90,2,500.0,35.0,4.755516818513931,3.3636555139490265,6.1483894514827435,0.09,0.4279965136662538,0.3027289962554124,0.5533550506334469,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.09031302779703626,0.15026063007075094,0.027046913412735164
95,2,500.0,35.0,4.673279520428104,3.6750612736360004,5.9212327452283935,0.095,0.44396155444066987,0.34913082099542003,0.5625171107966974,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.06990112219089026,0.13219410178870525,0.025116879339854004
100,2,500.0,35.0,4.517862757200766,3.711284964550931,5.347482212670798,0.1,0.4517862757200766,0.37112849645509316,0.5347482212670798,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.0427265125268917,0.1033519623989933,0.02067039247979866
