Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,9.0,27.06183802571912,3.7268248357464033,1.9304985977064069,25.16185807181008,30.831255272942872,0.005,0.13530919012859557,0.009652492988532041,0.1258092903590504,0.15415627636471438,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
10,1,1000.0,9.0,25.90085855917571,0.46631015353920724,0.682869060317721,24.959758218160182,27.258840277138184,0.01,0.2590085855917571,0.00682869060317721,0.24959758218160183,0.27258840277138185,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
15,1,1000.0,9.0,25.490503620063702,0.2764403529765038,0.5257759532124913,24.77827599719906,26.53937213084087,0.015,0.3823575543009555,0.00788663929818734,0.37167413995798587,0.39809058196261304,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
20,1,1000.0,9.0,23.678231058424867,0.11916559482870114,0.3452037004852369,23.088306576221818,24.39552549451466,0.02,0.4735646211684974,0.006904074009704746,0.46176613152443635,0.4879105098902932,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
25,1,1000.0,9.0,21.394674611251812,0.0711025601332651,0.26665063310118936,21.091628598750813,21.852797790136716,0.025,0.5348668652812953,0.00666626582752975,0.5272907149687703,0.5463199447534179,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
30,1,1000.0,9.0,18.812703568717225,0.06865466420883704,0.2620203507532135,18.43137942431003,19.27834319696047,0.03,0.5643811070615168,0.007860610522596397,0.5529413827293009,0.5783502959088141,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
35,1,1000.0,9.0,16.147835791974217,0.04808374961785984,0.2192800711826313,15.748214058938503,16.553866192026586,0.035,0.5651742527190976,0.007674802491392125,0.5511874920628477,0.5793853167209305,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
40,1,1000.0,9.0,13.89858858222164,0.0450535836823039,0.2122582947314519,13.487342785958443,14.299599771096027,0.04,0.5559435432888656,0.008490331789258072,0.5394937114383377,0.5719839908438411,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
45,1,1000.0,9.0,11.937747415114384,0.016979815436634887,0.1303066208472727,11.692421609520801,12.132410419076301,0.045,0.5371986336801472,0.005863797938127266,0.526158972428436,0.5459584688584335,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
50,1,1000.0,9.0,10.314110258895052,0.025952482264422778,0.16109774133867544,10.0591557681806,10.529751727994771,0.05,0.5157055129447526,0.008054887066933782,0.50295778840903,0.5264875863997386,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
55,1,1000.0,9.0,8.901228664327618,0.026059386364403074,0.16142919923112756,8.607321404680587,9.123037376617157,0.055,0.489567576538019,0.008878605957711977,0.4734026772574323,0.5017670557139436,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
60,1,1000.0,9.0,7.709187004415911,0.007544498277635708,0.08685907136065701,7.601761580176473,7.845781500321073,0.06,0.4625512202649546,0.005211544281639427,0.4561056948105884,0.4707468900192644,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
