Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,20.0,26.587887324553982,1.9305020282227336,1.3894250711077347,25.100164044671626,30.003781505157047,0.005,0.1329394366227699,0.006947125355538674,0.12550082022335812,0.15001890752578523,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
10,1,1000.0,20.0,25.8060082059499,1.2499601665064413,1.1180161745280974,24.984175955154054,29.184671292628302,0.01,0.258060082059499,0.011180161745280965,0.24984175955154056,0.291846712926283,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
15,1,1000.0,20.0,25.30268300548273,0.3362672677518537,0.5798855643589119,24.46601982897695,26.700927232142018,0.015,0.37954024508224093,0.008698283465383688,0.3669902974346542,0.40051390848213025,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
20,1,1000.0,20.0,23.609707885871686,0.07487028794525936,0.2736243555410581,23.046840107296948,24.108865909458423,0.02,0.4721941577174338,0.005472487110821168,0.46093680214593896,0.4821773181891685,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
25,1,1000.0,20.0,21.231053300027558,0.05609936345066879,0.23685304188603698,20.767830748242908,21.824470608097315,0.025,0.5307763325006889,0.005921326047150886,0.5191957687060728,0.5456117652024329,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
30,1,1000.0,20.0,18.764261696912012,0.07753812765726521,0.27845668901512355,18.114385581529532,19.155287075433453,0.03,0.5629278509073603,0.008353700670453651,0.5434315674458859,0.5746586122630035,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
35,1,1000.0,20.0,16.221466498656547,0.04608169058061921,0.21466646356759878,15.778605313904434,16.560632169205164,0.035,0.5677513274529792,0.007513326224865948,0.5522511859866552,0.5796221259221808,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
40,1,1000.0,20.0,14.016343818782975,0.045625076309042646,0.21360027225882144,13.684386817704823,14.387745495012265,0.04,0.560653752751319,0.008544010890352859,0.547375472708193,0.5755098198004907,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
45,1,1000.0,20.0,12.069350998373745,0.033565300159568275,0.18320835177351572,11.731958670510249,12.337795411952362,0.045,0.5431207949268184,0.00824437582980822,0.5279381401729611,0.5552007935378562,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
50,1,1000.0,20.0,10.333999575010981,0.014717126924088155,0.1213141662135472,10.086468066953824,10.582462406188178,0.05,0.5166999787505492,0.006065708310677371,0.5043234033476912,0.5291231203094089,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
55,1,1000.0,20.0,8.98027554785158,0.015253290771706328,0.12350421357875337,8.821690067667165,9.22132926474203,0.055,0.4939151551318369,0.006792731746831427,0.4851929537216941,0.5071731095608116,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
60,1,1000.0,20.0,7.753643471621681,0.007228732311463086,0.08502195193867926,7.589329580453979,7.9092076589324245,0.06,0.46521860829730083,0.005101317116320764,0.4553597748272387,0.47455245953594544,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
