Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,10.0,26.629947965438998,1.5291876955845276,1.236603289492846,25.27540454762459,29.108315486031266,0.005,0.133149739827195,0.006183016447464225,0.12637702273812296,0.14554157743015633,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
10,1,1000.0,10.0,25.793193833495927,0.2269834824319072,0.4764278354923306,25.132937967803947,26.62882506734009,0.01,0.25793193833495925,0.004764278354923302,0.2513293796780395,0.2662882506734009,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
15,1,1000.0,10.0,24.97366231977149,0.0958433193202181,0.3095857220871436,24.426397204847095,25.47905013020721,0.015,0.3746049347965723,0.004643785831307152,0.3663959580727064,0.3821857519531081,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
20,1,1000.0,10.0,23.779462638052,0.25981433592826503,0.5097198602450811,23.125928616600984,24.69008021260214,0.02,0.47558925276103997,0.010194397204901633,0.4625185723320197,0.49380160425204284,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
25,1,1000.0,10.0,21.285645813781205,0.05934833418649428,0.2436151353805717,20.89606762996596,21.63986639147955,0.025,0.5321411453445302,0.0060903783845142325,0.522401690749149,0.5409966597869887,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
30,1,1000.0,10.0,18.730555649057873,0.0943093227989835,0.3070982298857867,18.319893603847657,19.331966243579178,0.03,0.5619166694717362,0.009212946896573615,0.5495968081154297,0.5799589873073753,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
35,1,1000.0,10.0,16.195291365996656,0.092255567067874,0.30373601542766376,15.616623034704197,16.73553744885034,0.035,0.5668351978098831,0.010630760539968259,0.5465818062146469,0.585743810709762,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
40,1,1000.0,10.0,13.802854532776411,0.02980796806297666,0.17264984234854272,13.459087165409153,14.042293375638824,0.04,0.5521141813110564,0.0069059936939416845,0.5383634866163661,0.5616917350255529,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
45,1,1000.0,10.0,12.063067157902287,0.016681246125665874,0.12915589853222295,11.867056140234078,12.280606660331765,0.045,0.5428380221056028,0.00581201543395007,0.5340175263105336,0.5526272997149294,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
50,1,1000.0,10.0,10.308774589915375,0.021418245675642617,0.1463497375318542,10.037851333351139,10.602096978874407,0.05,0.5154387294957687,0.007317486876592698,0.501892566667557,0.5301048489437203,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
55,1,1000.0,10.0,8.916184849116235,0.023221451027522006,0.15238586229543083,8.71967570649014,9.29570219075394,0.055,0.49039016670139285,0.008381222426248707,0.4795821638569577,0.5112636204914667,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
60,1,1000.0,10.0,7.763921120673635,0.010723528721941869,0.10355447224500673,7.597895828646862,7.971205863728362,0.06,0.4658352672404181,0.006213268334700395,0.45587374971881167,0.4782723518237017,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
