Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,30.0,26.528305999290193,2.2070137947456088,1.4856021657044018,25.101252037320926,30.156774139596212,0.005,0.13264152999645099,0.0074280108285220085,0.12550626018660463,0.15078387069798108,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
10,1,1000.0,30.0,25.508861310924395,0.16424932076929608,0.4052768446004485,24.97355936199053,26.35463010263923,0.01,0.2550886131092439,0.004052768446004482,0.24973559361990533,0.2635463010263923,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
15,1,1000.0,30.0,25.18047071588356,0.31302127804787144,0.5594830453622982,24.220866777731377,26.503963720496937,0.015,0.3777070607382534,0.008392245680434484,0.36331300166597064,0.39755945580745405,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
20,1,1000.0,30.0,23.575742835510432,0.2291031902643567,0.4786472503465957,23.041250901717422,24.804298898473725,0.02,0.4715148567102087,0.009572945006931902,0.46082501803434844,0.4960859779694745,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
25,1,1000.0,30.0,21.351339418356705,0.07665459180885292,0.27686565660777235,20.84198235496323,21.86658097056149,0.025,0.5337834854589176,0.006921641415194294,0.5210495588740808,0.5466645242640372,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
30,1,1000.0,30.0,18.677934535242223,0.0500519607782069,0.2237229554118372,18.08047507924789,19.08861772365335,0.03,0.5603380360572666,0.006711688662355109,0.5424142523774367,0.5726585317096005,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
35,1,1000.0,30.0,16.260731823868984,0.09697557259826668,0.3114090117486433,15.795507252986564,16.898447707361797,0.035,0.5691256138354145,0.010899315411202554,0.5528427538545297,0.591445669757663,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
40,1,1000.0,30.0,14.023782898356302,0.048929155469288985,0.22119935684646325,13.605651882524862,14.45426421944077,0.04,0.5609513159342521,0.008847974273858538,0.5442260753009945,0.5781705687776308,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
45,1,1000.0,30.0,12.005922253634282,0.040485086995269225,0.20120906290540003,11.65795565928855,12.345459475567624,0.045,0.5402665014135427,0.009054407830743006,0.5246080046679847,0.5555456764005431,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
50,1,1000.0,30.0,10.364193221124903,0.033159129058543554,0.1820964828285916,10.100573827469752,10.739555913262468,0.05,0.5182096610562452,0.009104824141429563,0.5050286913734876,0.5369777956631234,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
55,1,1000.0,30.0,8.94958665109465,0.0129595337505073,0.11383994795548397,8.769410789714277,9.281732026195144,0.055,0.49222726581020576,0.006261197137551617,0.4823175934342852,0.5104952614407329,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
60,1,1000.0,30.0,7.763635474760804,0.012687256971398204,0.1126377244594288,7.545337585441096,8.007017239163236,0.06,0.46581812848564824,0.006758263467565725,0.45272025512646574,0.48042103434979416,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
