Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,2.0,27.37181273351611,2.3362447179951227,1.5284779088999365,25.55726980841643,30.631527902124855,0.005,0.13685906366758055,0.007642389544499682,0.12778634904208214,0.15315763951062428,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
10,1,1000.0,2.0,25.823298892796604,0.9138911395516247,0.9559765371344763,24.9195668431461,27.93162091827358,0.01,0.25823298892796603,0.009559765371344751,0.24919566843146101,0.2793162091827358,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
15,1,1000.0,2.0,25.087291433316775,0.2757081394007294,0.5250791744115638,24.2925591628703,26.23585874986634,0.015,0.3763093714997517,0.007876187616173452,0.3643883874430545,0.39353788124799505,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
20,1,1000.0,2.0,23.65103070289761,0.2182199654968557,0.4671401989733443,22.882417743941012,24.42598153449054,0.02,0.4730206140579522,0.009342803979466864,0.4576483548788203,0.4885196306898108,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
25,1,1000.0,2.0,21.237632749391956,0.08761114430549066,0.29599179769968403,20.739686963310415,21.70445431763023,0.025,0.5309408187347989,0.007399794942492098,0.5184921740827604,0.5426113579407558,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
30,1,1000.0,2.0,18.615188546986808,0.04648906807520064,0.21561323724484227,18.197247945565255,18.91629094305461,0.03,0.5584556564096042,0.006468397117345312,0.5459174383669576,0.5674887282916382,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
35,1,1000.0,2.0,16.28503620088666,0.06952039861649485,0.2636672118722668,15.826540027699801,16.75371520021571,0.035,0.569976267031033,0.00922835241552933,0.5539289009694931,0.5863800320075498,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
40,1,1000.0,2.0,13.91263056768529,0.07112888259276286,0.26669998611316587,13.57168435645885,14.53337139942992,0.04,0.5565052227074117,0.010667999444526627,0.542867374258354,0.5813348559771968,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
45,1,1000.0,2.0,11.993484242995493,0.03773087308726057,0.19424436436422182,11.709282636675024,12.382159807382394,0.045,0.5397067909347971,0.00874099639638998,0.5269177186503761,0.5571971913322077,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
50,1,1000.0,2.0,10.351576166560099,0.011888202700382367,0.10903303490402515,10.208954327726815,10.523951916398339,0.05,0.517578808328005,0.005451651745201255,0.5104477163863408,0.526197595819917,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
55,1,1000.0,2.0,8.943358801259851,0.02403027385955454,0.1550170115166543,8.610549894635165,9.25861651611598,0.055,0.49188473406929184,0.008525935633416009,0.47358024420493405,0.5092239083863789,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
60,1,1000.0,2.0,7.739678219079319,0.007267025298923659,0.08524684920232337,7.60461970044052,7.9183481327964165,0.06,0.46438069314475905,0.0051148109521394055,0.4562771820264312,0.475100887967785,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
