Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,10.0,26.997213532370154,2.1514188906538165,1.466771587757895,25.03968840246269,29.70878379805986,0.005,0.13498606766185078,0.007333857938789475,0.12519844201231345,0.14854391899029928,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
10,1,1000.0,10.0,25.627544439807927,0.31504684997692806,0.5612903437410339,24.95656529474028,26.807529316360586,0.01,0.2562754443980793,0.005612903437410342,0.2495656529474028,0.26807529316360584,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
15,1,1000.0,10.0,25.066376959776367,0.14961912787243759,0.3868063182943598,24.540651945539175,25.90772281436749,0.015,0.3759956543966455,0.00580209477441537,0.3681097791830876,0.3886158422155123,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
20,1,1000.0,10.0,23.49180918523661,0.12679126801929916,0.3560776151617778,22.8790042024683,24.55512681656443,0.02,0.46983618370473235,0.007121552303235575,0.45758008404936595,0.49110253633128864,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
25,1,1000.0,10.0,21.44462054977466,0.09138336690471496,0.302296819210383,20.699701493087918,21.951501302350035,0.025,0.5361155137443665,0.007557420480259544,0.517492537327198,0.5487875325587509,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
30,1,1000.0,10.0,19.04880549806166,0.07591377098690626,0.27552453790344383,18.51779118387142,19.413241252549817,0.03,0.5714641649418498,0.008265736137103318,0.5555337355161426,0.5823972375764945,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
35,1,1000.0,10.0,16.34993607181108,0.07464886545872931,0.2732194456087072,15.897002875772023,17.146598843084476,0.035,0.5722477625133877,0.009562680596304796,0.5563951006520208,0.6001309595079567,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
40,1,1000.0,10.0,14.113453886252833,0.03293535102608066,0.18148099356704178,13.726005325105822,14.44784336857111,0.04,0.5645381554501133,0.007259239742681657,0.5490402130042329,0.5779137347428445,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
45,1,1000.0,10.0,12.209582604860685,0.0343047581036323,0.18521543700143436,11.890258577757663,12.507192344270411,0.045,0.5494312172187308,0.00833469466506454,0.5350616359990948,0.5628236554921685,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
50,1,1000.0,10.0,10.587581534027413,0.01923167441970905,0.13867831272303918,10.362382315877886,10.77009649165625,0.05,0.5293790767013707,0.006933915636151954,0.5181191157938944,0.5385048245828126,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
55,1,1000.0,10.0,9.215633809503712,0.02096722886459165,0.14480065215527052,8.856619003313337,9.437500324406642,0.055,0.5068598595227043,0.007964035868539887,0.48711404518223356,0.5190625178423653,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
60,1,1000.0,10.0,8.075663461695559,0.019460372760527266,0.13950044000119594,7.814574590299146,8.291470946975457,0.06,0.4845398077017335,0.008370026400071746,0.46887447541794874,0.4974882568185274,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
