Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %,Variance of Average Speed,Standard Deviation of Average Speed,Standard Deviation of Flow
5,2,500.0,30.0,27.662909458039803,25.00757327546099,30.35944700248003,0.005,0.13831454729019904,0.12503786637730496,0.15179723501240017,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.5959686498912024,0.38599502907783745,0.0038599502907783758
10,2,500.0,30.0,24.38410851239653,19.5875045494436,28.40114934360559,0.01,0.2438410851239653,0.19587504549443602,0.2840114934360559,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,1.5342350466467631,0.6193212104083718,0.01238642420816744
15,2,500.0,30.0,18.485701369021776,13.978887208683968,24.743480325160217,0.015,0.2772855205353266,0.2096833081302595,0.37115220487740325,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,1.7984419177759825,0.6705299989142884,0.020115899967428647
20,2,500.0,30.0,15.308514913179824,10.686417686189262,22.308053181178458,0.02,0.3061702982635965,0.21372835372378526,0.44616106362356917,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,1.9028092428970451,0.6897117591604925,0.027588470366419697
25,2,500.0,30.0,12.199912799451315,9.46200059123894,16.62846225941249,0.025,0.3049978199862829,0.2365500147809735,0.4157115564853123,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.8195804068021509,0.45265340129125037,0.02263267006456252
30,2,500.0,30.0,10.328321701503704,7.667412058978115,13.50381853283482,0.03,0.3098496510451111,0.23002236176934346,0.4051145559850446,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.3141140720457898,0.2802294024749142,0.016813764148494847
35,2,500.0,30.0,8.805113958798497,6.872871765191468,10.460266794956613,0.035,0.3081789885579474,0.24055051178170142,0.3661093378234815,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.20801574693117947,0.22804371671413107,0.01596306016998917
40,2,500.0,30.0,7.776275568246708,6.387353763097455,9.218270736557844,0.04,0.3110510227298684,0.2554941505238982,0.3687308294623138,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.133221683427891,0.18249772836112987,0.014599818268890393
45,2,500.0,30.0,6.899605540629893,5.795997202719865,8.105349398573225,0.045,0.3104822493283452,0.2608198741223939,0.36474072293579507,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.10235107548420143,0.15996177315549598,0.014396559583994637
50,2,500.0,30.0,6.2026007165899095,5.090125793980626,6.87691837134656,0.05,0.3101300358294955,0.2545062896990313,0.343845918567328,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.07447548309570749,0.1364509830449267,0.013645098304492674
55,2,500.0,30.0,6.093365183884272,5.092765795048278,6.957942440022628,0.055,0.33513508511363493,0.2801021187276553,0.38268683420124455,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.051458468862243124,0.11342229593673715,0.012476452553041088
60,2,500.0,30.0,5.635869631257239,4.678304196325269,6.567805459938452,0.06,0.33815217787543433,0.28069825177951613,0.3940683275963071,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.05907810281167298,0.12152993747599085,0.014583592497118903
65,2,500.0,30.0,5.49637549468272,4.102018513231248,6.762060298152731,0.065,0.3572644071543768,0.2666312033600311,0.43953391937992753,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.10439670896166632,0.16155239781698252,0.02100181171620773
70,2,500.0,30.0,5.128920457942594,3.745626735682364,6.314037361259472,0.07,0.3590244320559816,0.2621938714977655,0.44198261528816307,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.09361884871798908,0.15298598687297235,0.021418038162216126
75,2,500.0,30.0,5.161649995674369,4.261993139000689,6.396722615865519,0.075,0.38712374967557767,0.3196494854250516,0.4797541961899139,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.09158956724307848,0.15131884155903924,0.022697826233855883
80,2,500.0,30.0,4.724110260279667,3.7936470716718835,6.089655055140314,0.08,0.3779288208223733,0.3034917657337507,0.48717240441122517,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.08230546326159838,0.14344464373199717,0.022951142997119544
90,2,500.0,30.0,4.864329515563145,3.6825120353217717,5.923048145288601,0.09,0.437789656400683,0.33142608317895944,0.5330743330759741,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.06650195209984486,0.1289398620480153,0.023209175168642755
95,2,500.0,30.0,4.780435853720854,3.472078049184809,5.7925651570025245,0.095,0.4541414061034811,0.32984741467255685,0.5502936899152399,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.06308386514475922,0.12558250788302408,0.023860676497774562
100,2,500.0,30.0,4.720125024008943,3.83598780478197,5.965599762526592,0.1,0.4720125024008943,0.38359878047819707,0.5965599762526592,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.057756044981642905,0.12016243691524704,0.024032487383049392
