Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,0.0,26.387227734325677,0.9778305412137606,0.9888531444121319,25.15057613550341,28.580849833630822,0.005,0.1319361386716284,0.004944265722060664,0.12575288067751705,0.1429042491681541,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
10,1,1000.0,0.0,25.8532866807856,0.9134924231825977,0.9557679756000395,24.927202489977237,29.18805226813803,0.01,0.25853286680785603,0.009557679756000404,0.24927202489977238,0.2918805226813803,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
15,1,1000.0,0.0,25.198851921249833,0.21607738964740553,0.46484125209301885,24.44171958335041,26.13976613322823,0.015,0.3779827788187475,0.0069726187813952765,0.3666257937502561,0.3920964919984234,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
20,1,1000.0,0.0,23.74369554958733,0.10856128219565161,0.32948639151814996,23.195906202163123,24.39218980516853,0.02,0.4748739109917466,0.006589727830363028,0.46391812404326244,0.48784379610337064,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
25,1,1000.0,0.0,21.40520292943789,0.11086219158467528,0.332959744690969,20.962887388203512,22.121034249315233,0.025,0.5351300732359473,0.008323993617274214,0.5240721847050879,0.5530258562328808,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
30,1,1000.0,0.0,19.100284460937,0.07121547820987303,0.2668622832283967,18.519595516927136,19.511774766664647,0.03,0.5730085338281101,0.008005868496851924,0.555587865507814,0.5853532429999394,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
35,1,1000.0,0.0,16.447899098043347,0.05120928104947852,0.22629467746608298,16.04293372637408,16.863040557795085,0.035,0.5756764684315173,0.00792031371131292,0.5615026804230929,0.590206419522828,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
40,1,1000.0,0.0,14.183489945515547,0.03754952666836828,0.1937770024238384,13.729205298555542,14.423166271784714,0.04,0.5673395978206219,0.007751080096953525,0.5491682119422217,0.5769266508713886,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
45,1,1000.0,0.0,12.269840119499761,0.039929938078498185,0.1998247684309885,11.985345847435525,12.698649896301545,0.045,0.5521428053774893,0.00899211457939448,0.5393405631345987,0.5714392453335695,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
50,1,1000.0,0.0,10.638697791816462,0.02285673465347918,0.1511844391909405,10.292467022785427,10.853459468787435,0.05,0.5319348895908231,0.007559221959547031,0.5146233511392714,0.5426729734393717,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
55,1,1000.0,0.0,9.223054750771183,0.013827723192372977,0.1175913397847519,9.043647728870443,9.428733903071834,0.055,0.507268011292415,0.006467523688161355,0.49740062508787436,0.5185803646689509,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
60,1,1000.0,0.0,8.033283076469493,0.021078253028634995,0.14518351500302987,7.623669005325771,8.244509894281604,0.06,0.4819969845881696,0.008711010900181806,0.45742014031954625,0.49467059365689625,150.0,0.5,50,80.0,20.0,0.0,0.0,0.0
