Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
10,1,1000,0,25.503359930112364,0.36482954731748785,0.6040112145626833,24.989472889741595,26.200887573360575,0.01,0.2550335993011236,0.0060401121456268355,0.24989472889741596,0.26200887573360576,120,0.5,50,10.0,60.0,20.0,5.0,5.0
15,1,1000,0,24.981850514009274,0.24306753715617369,0.4930188000027724,24.49785058429735,25.564392312919455,0.015,0.3747277577101391,0.007395282000041589,0.36746775876446025,0.38346588469379184,120,0.5,50,10.0,60.0,20.0,5.0,5.0
20,1,1000,0,22.402425854847504,0.02319362420182537,0.15229453109624577,22.201269054080623,22.570776967481994,0.02,0.44804851709695004,0.00304589062192494,0.44402538108161244,0.4514155393496399,120,0.5,50,10.0,60.0,20.0,5.0,5.0
25,1,1000,0,19.608026224133862,0.03807403893853112,0.19512570035372356,19.414197876372583,19.854858878132426,0.025,0.4902006556033466,0.004878142508843113,0.4853549469093146,0.49637147195331066,120,0.5,50,10.0,60.0,20.0,5.0,5.0
30,1,1000,0,17.09732147199664,0.033764375671104865,0.18375085216429574,16.83662589523382,17.268586314829246,0.03,0.5129196441598992,0.005512525564928847,0.5050987768570145,0.5180575894448773,120,0.5,50,10.0,60.0,20.0,5.0,5.0
35,1,1000,0,14.415620257316967,0.01901563073158088,0.13789717448730007,14.243406623777082,14.574522216046907,0.035,0.5045467090060939,0.004826401107055494,0.49851923183219793,0.5101082775616418,120,0.5,50,10.0,60.0,20.0,5.0,5.0
