Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,0.0,26.51557542221598,2.12004907195604,1.4560388291374788,25.16586720564132,30.804339754938685,0.005,0.1325778771110799,0.007280194145687387,0.1258293360282066,0.15402169877469343,150.0,0.5,50,100,0,0.0,0.0,0.0
10,1,1000.0,0.0,25.879502081493865,0.4561282998435799,0.6753727117996254,25.058794615869605,27.53827577452604,0.01,0.25879502081493866,0.00675372711799626,0.25058794615869606,0.2753827577452604,150.0,0.5,50,100,0,0.0,0.0,0.0
15,1,1000.0,0.0,25.028248070944628,0.1291152420128791,0.3593260942554536,24.330889317285155,25.771026272469847,0.015,0.3754237210641694,0.005389891413831803,0.3649633397592773,0.3865653940870477,150.0,0.5,50,100,0,0.0,0.0,0.0
20,1,1000.0,0.0,23.831387819873896,0.12538832588807783,0.35410214047373084,23.349706319527506,24.550611780923237,0.02,0.47662775639747795,0.007082042809474619,0.46699412639055016,0.49101223561846474,150.0,0.5,50,100,0,0.0,0.0,0.0
25,1,1000.0,0.0,21.481940729584057,0.054696014105397116,0.23387178988795787,21.085245386030785,21.904233970372097,0.025,0.5370485182396014,0.005846794747198952,0.5271311346507697,0.5476058492593024,150.0,0.5,50,100,0,0.0,0.0,0.0
30,1,1000.0,0.0,18.959624817938227,0.05014293173865485,0.22392617475108811,18.68904376426333,19.48758395604296,0.03,0.5687887445381469,0.006717785242532667,0.5606713129279,0.5846275186812888,150.0,0.5,50,100,0,0.0,0.0,0.0
35,1,1000.0,0.0,16.577607145503528,0.07273937661812335,0.2697023852659137,16.00471862713807,17.222580266573022,0.035,0.5802162500926237,0.009439583484306999,0.5601651519498325,0.6027903093300558,150.0,0.5,50,100,0,0.0,0.0,0.0
40,1,1000.0,0.0,14.202804162234818,0.052122904022009246,0.2283044108684921,13.5972243545172,14.558336942096426,0.04,0.5681121664893927,0.009132176434739686,0.543888974180688,0.582333477683857,150.0,0.5,50,100,0,0.0,0.0,0.0
45,1,1000.0,0.0,12.28723467624471,0.04031884276416017,0.2007955247612859,11.971444808159935,12.575325826280407,0.045,0.5529255604310119,0.009035798614257842,0.5387150163671971,0.5658896621826183,150.0,0.5,50,100,0,0.0,0.0,0.0
50,1,1000.0,0.0,10.666018772467146,0.01938489438207653,0.13922964620394798,10.355882198714037,10.923492620726229,0.05,0.5333009386233573,0.006961482310197395,0.5177941099357019,0.5461746310363115,150.0,0.5,50,100,0,0.0,0.0,0.0
55,1,1000.0,0.0,9.27643663271213,0.013607183207253754,0.11664983157833428,8.99884180413325,9.450753343395878,0.055,0.5102040147991671,0.006415740736808414,0.49493629922732874,0.5197914338867733,150.0,0.5,50,100,0,0.0,0.0,0.0
60,1,1000.0,0.0,8.095693726055384,0.007491532689678786,0.08655364053394164,7.943390213506364,8.268625758125044,0.06,0.485741623563323,0.00519321843203649,0.4766034128103818,0.4961175454875026,150.0,0.5,50,100,0,0.0,0.0,0.0
