Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %,Variance of Average Speed,Standard Deviation of Average Speed,Standard Deviation of Flow
5,2,500.0,10.0,27.40680418722828,20.002890889510113,32.11627485067399,0.005,0.13703402093614142,0.10001445444755057,0.16058137425336994,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,2.1519048923389543,0.7334686244719256,0.007334686244719257
10,2,500.0,10.0,22.228592157312846,13.669371825068584,28.51406027837812,0.01,0.22228592157312846,0.13669371825068585,0.2851406027837812,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,4.698067562706399,1.0837513048096412,0.021675026096192818
15,2,500.0,10.0,18.71460368789607,13.685129665830841,25.482592694334322,0.015,0.28071905531844105,0.2052769449874626,0.3822388904150148,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,1.7060693142808545,0.6530829415703748,0.019592488247111243
20,2,500.0,10.0,14.73749861794559,11.046649716118095,18.58418530808497,0.02,0.2947499723589118,0.2209329943223619,0.3716837061616994,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.7956900777683947,0.4460073087317053,0.01784029234926821
25,2,500.0,10.0,12.096976304479151,9.736403322147751,14.292576761446501,0.025,0.3024244076119788,0.2434100830536938,0.35731441903616257,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.44054192296629896,0.3318666610878151,0.01659333305439076
30,2,500.0,10.0,10.49184045129557,8.067412400511758,12.235936973760124,0.03,0.31475521353886715,0.24202237201535273,0.3670781092128037,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.26767665336341906,0.2586873853531609,0.015521243121189647
35,2,500.0,10.0,8.349314740558206,6.299421818671296,9.878484035278175,0.035,0.2922260159195373,0.22047976365349536,0.34574694123473615,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.24027551925455537,0.24508953428010516,0.01715626739960736
40,2,500.0,10.0,7.642468717781687,5.896779658152736,9.201802717307395,0.04,0.3056987487112675,0.23587118632610946,0.3680721086922958,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.17925104451448592,0.21169024807161402,0.01693521984572914
45,2,500.0,10.0,6.909460496919113,5.3700594543928375,9.196823080412539,0.045,0.31092572236136007,0.24165267544767768,0.41385703861856427,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.19788461965502505,0.22242112065574227,0.020017900859016804
50,2,500.0,10.0,6.381556954657125,5.119992863683668,7.528345459360235,0.05,0.31907784773285625,0.2559996431841834,0.37641727296801175,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.10934337810362932,0.16533555130675112,0.01653355513067511
55,2,500.0,10.0,5.94995123341172,4.89730373678163,7.115951813223611,0.055,0.3272473178376446,0.26935170552298965,0.3913773497272986,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.07674941619557508,0.13851842494373726,0.015237026743811097
60,2,500.0,10.0,5.676780504556623,4.587574296214195,6.751315428297147,0.06,0.34060683027339744,0.27525445777285173,0.40507892569782883,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.0775181400830241,0.13921039839306554,0.016705247807167863
65,2,500.0,10.0,5.277101697414803,3.977584060657998,6.483415700136704,0.065,0.3430116103319622,0.2585429639427699,0.4214220205088858,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.10936630317078552,0.1653528826259052,0.021495874741367674
70,2,500.0,10.0,5.225284727044596,4.289064894799703,7.353909474205039,0.07,0.3657699308931218,0.30023454263597926,0.5147736631943528,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.10342771443116182,0.16080089740977957,0.02251212563736913
75,2,500.0,10.0,5.145731284395234,4.144526360673323,6.22614533235879,0.075,0.38592984632964256,0.31083947705049925,0.46696089992690926,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.08411109563999712,0.14500956489142114,0.021751434733713177
80,2,500.0,10.0,4.986982783040148,3.866342853863793,5.799582175043783,0.08,0.39895862264321186,0.30930742830910346,0.46396657400350266,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.05399918431403449,0.1161886228445308,0.018590179655124932
90,2,500.0,10.0,4.861110175534651,3.757179322362097,7.018180370469164,0.09,0.4374999157981186,0.3381461390125887,0.6316362333422247,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.13520033493444372,0.18384799083376172,0.0330926383500771
95,2,500.0,10.0,4.864353248914724,3.8838579664658015,5.908048277326599,0.095,0.46211355864689874,0.36896650681425114,0.5612645863460269,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.06263031663060961,0.12513024877163956,0.023774747266611503
100,2,500.0,10.0,4.576105419754675,3.5098689106586516,5.596064319601286,0.1,0.4576105419754675,0.35098689106586517,0.5596064319601286,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.06797169996070135,0.13035691385644008,0.026071382771288013
