Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %,Variance of Average Speed,Standard Deviation of Average Speed,Standard Deviation of Flow
5,2,500.0,5.0,26.946567946571612,18.289080910465294,31.188794946597234,0.005,0.13473283973285805,0.09144540455232647,0.15594397473298618,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,2.5090136072699303,0.7919933091999468,0.007919933091999473
10,2,500.0,5.0,23.334409087624913,15.46196200963447,28.853240320994978,0.01,0.23334409087624913,0.15461962009634472,0.2885324032099498,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,3.445753107631581,0.9281369925328347,0.018562739850656693
15,2,500.0,5.0,18.284591754689092,14.407973639236484,25.45743076901028,0.015,0.27426887632033636,0.21611960458854726,0.3818614615351542,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,2.0805024082718053,0.7211973391991622,0.021635920175974863
20,2,500.0,5.0,14.465585263153944,11.126186256144505,21.458254773836604,0.02,0.28931170526307887,0.22252372512289012,0.4291650954767321,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,1.2562041749741788,0.5604025729273061,0.022416102917092246
25,2,500.0,5.0,11.585496677801688,9.422519492027913,15.57726744236774,0.025,0.2896374169450422,0.23556298730069783,0.38943168605919354,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.5670742892092876,0.37652167574035084,0.018826083787017542
30,2,500.0,5.0,9.971938386133267,7.0935903920300625,12.599285969654277,0.03,0.299158151583998,0.21280771176090188,0.3779785790896283,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.5791834503860724,0.3805205153424952,0.02283123092054971
35,2,500.0,5.0,8.449208544954121,6.445540134859413,10.224347068483468,0.035,0.29572229907339426,0.22559390472007948,0.3578521473969214,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.22697206600613395,0.23820792703336616,0.01667455489233563
40,2,500.0,5.0,7.669048800559624,6.234954922112604,9.411451215100698,0.04,0.306761952022385,0.24939819688450418,0.37645804860402793,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.1263631582029847,0.17773798004575772,0.014219038403660617
45,2,500.0,5.0,7.1149731827534355,5.894425710251245,8.518613565491075,0.045,0.32017379322390466,0.265249156961306,0.38333761044709835,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.10739883726897051,0.16385880909259234,0.014747292818333313
50,2,500.0,5.0,6.503315715454173,5.042925940753101,7.9184323766837705,0.05,0.3251657857727086,0.25214629703765506,0.3959216188341885,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.12119801476522366,0.1740675262399794,0.017406752623997934
55,2,500.0,5.0,6.013117594815815,4.608500051263404,7.520823722131858,0.055,0.3307214677148698,0.2534675028194872,0.4136453047172522,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.0906785297898616,0.15056437974323608,0.016562081771755957
60,2,500.0,5.0,5.57373142039097,4.609380759479946,6.450272471340949,0.06,0.3344238852234582,0.2765628455687968,0.38701634828045695,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.05311948902107461,0.11523832806522599,0.013828599367827122
65,2,500.0,5.0,5.487465280621359,4.2187339732283755,6.732386459542279,0.065,0.35668524324038836,0.27421770825984443,0.43760511987024814,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.07142331940062273,0.13362570804360843,0.017371342045669095
70,2,500.0,5.0,5.163024424982975,4.380523800724882,5.913960109273721,0.07,0.36141170974880826,0.3066366660507418,0.4139772076491605,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.038245312468975744,0.09778204394081735,0.013689486151714426
75,2,500.0,5.0,5.121917501769871,4.523071152792537,6.343443255482526,0.075,0.3841438126327403,0.33923033645944023,0.47575824416118945,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.05920599733960742,0.1216614126783914,0.0182492119017587
80,2,500.0,5.0,5.166105161350939,4.193321104066043,6.7967259531670905,0.08,0.41328841290807516,0.33546568832528345,0.5437380762533672,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.08055051712588376,0.14190711497832284,0.022705138396531658
90,2,500.0,5.0,4.917455923244009,4.067087359643408,6.015337916886697,0.09,0.4425710330919607,0.36603786236790675,0.5413804125198027,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.04728363045179591,0.10872399741064058,0.019570319533915307
95,2,500.0,5.0,4.874729597364682,3.8277111081460236,6.336852158894666,0.095,0.46309931174964475,0.3636325552738722,0.6020009550949933,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.062790114644951,0.12528977875803657,0.02380505796402696
100,2,500.0,5.0,4.943185621826046,4.095925179923791,6.3139231653446934,0.1,0.49431856218260467,0.4095925179923791,0.6313923165344694,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.05801319944927672,0.12042964694093884,0.024085929388187762
